"taxon_id","taxon_rank","scientific_name","species","genus","family","order","class","phylum","kingdom","superkingdom","genome_size"
"758717","species","Acleris sparsana","Acleris sparsana","Acleris","Tortricidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",590000000
"29057","species","Ostrinia nubilalis","Ostrinia nubilalis","Ostrinia","Crambidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",497000000
"987985","species","Mythimna impura","Mythimna impura","Mythimna","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",709000000
"987431","species","Xestia c-nigrum","Xestia c-nigrum","Xestia","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",762420000
"291688","species","Hesperia comma","Hesperia comma","Hesperia","Hesperiidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",552000000
"1124515","species","Eristalis arbustorum","Eristalis arbustorum","Eristalis","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa","Eukaryota",452000000
"30195","species","Bombus terrestris","Bombus terrestris","Bombus","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa","Eukaryota",518340000
"30194","species","Bombus pratorum","Bombus pratorum","Bombus","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa","Eukaryota",287000000
"938226","species","Craniophora ligustri","Craniophora ligustri","Craniophora","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",437000000
"1167272","species","Cerceris rybyensis","Cerceris rybyensis","Cerceris","Crabronidae","Hymenoptera","Insecta","Arthropoda","Metazoa","Eukaryota",345208750
"483950","species","Acanthosoma haemorrhoidale","Acanthosoma haemorrhoidale","Acanthosoma","Acanthosomatidae","Hemiptera","Insecta","Arthropoda","Metazoa","Eukaryota",875000000
"37344","species","Athalia rosae","Athalia rosae","Athalia","Tenthredinidae","Hymenoptera","Insecta","Arthropoda","Metazoa","Eukaryota",173000000
"934931","species","Colostygia pectinataria","Colostygia pectinataria","Colostygia","Geometridae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",353000000
"327064","species","Brachiomonas submarina","Brachiomonas submarina","Brachiomonas","Chlamydomonadaceae","Chlamydomonadales","Chlorophyceae","Chlorophyta","Viridiplantae","Eukaryota",184000000
"520905","species","Tenthredo livida","Tenthredo livida","Tenthredo","Tenthredinidae","Hymenoptera","Insecta","Arthropoda","Metazoa","Eukaryota",353000000
"1190790","species","Sphecodes monilicornis","Sphecodes monilicornis","Sphecodes","Halictidae","Hymenoptera","Insecta","Arthropoda","Metazoa","Eukaryota",495000000
"226178","species","Baccha elongata","Baccha elongata","Baccha","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa","Eukaryota",609000000
"227532","species","Anthocharis cardamines","Anthocharis cardamines","Anthocharis","Pieridae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",408000000
"1620919","species","Phorcus lineatus","Phorcus lineatus","Phorcus","Trochidae","Trochida","Gastropoda","Mollusca","Metazoa","Eukaryota",996000000
"929971","species","Nymphalis c-album","Nymphalis c-album","Nymphalis","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",379000000
"987896","species","Caradrina kadenii","Caradrina kadenii","Caradrina","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",426000000
"113330","species","Mellicta athalia","Mellicta athalia","Mellicta","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",717000000
"987436","species","Sphinx pinastri","Sphinx pinastri","Sphinx","Sphingidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",518000000
"273407","species","Cheilosia pagana","Cheilosia pagana","Cheilosia","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa","Eukaryota",361000000
"30212","species","Vespula germanica","Vespula germanica","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa","Eukaryota",224940000
"88512","species","Lasioglossum malachurum","Lasioglossum malachurum","Lasioglossum","Halictidae","Hymenoptera","Insecta","Arthropoda","Metazoa","Eukaryota",311000000
"52757","species","Tipula paludosa","Tipula paludosa","Tipula","Tipulidae","Diptera","Insecta","Arthropoda","Metazoa","Eukaryota",1023000000
"40830","species","Barbus barbus","Barbus barbus","Barbus","Cyprinidae","Cypriniformes","Actinopteri","Chordata","Metazoa","Eukaryota",1762845000
"934882","species","Opisthograptis luteolata","Opisthograptis luteolata","Opisthograptis","Geometridae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",369000000
"189979","species","Bibio marci","Bibio marci","Bibio","Bibionidae","Diptera","Insecta","Arthropoda","Metazoa","Eukaryota",299920000
"34708","species","Myrmica ruginodis","Myrmica ruginodis","Myrmica","Formicidae","Hymenoptera","Insecta","Arthropoda","Metazoa","Eukaryota",517000000
"1100938","species","Catoptria pinella","Catoptria pinella","Catoptria","Crambidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",391000000
"1126402","species","Andrena hattorfiana","Andrena hattorfiana","Andrena","Andrenidae","Hymenoptera","Insecta","Arthropoda","Metazoa","Eukaryota",415000000
"104452","species","Operophtera brumata","Operophtera brumata","Operophtera","Geometridae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",634000000
"1870435","species","Ypsolopha scabrella","Ypsolopha scabrella","Ypsolopha","Ypsolophidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",823500000
"2566568","species","Epinotia brunnichana","Epinotia brunnichana","Epinotia","Tortricidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",943000000
"1100988","species","Eucosma cana","Eucosma cana","Eucosma","Tortricidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",634000000
"82595","species","Biston betularia","Biston betularia","Biston","Geometridae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",758797647.0588236
"85660","species","Bombus hortorum","Bombus hortorum","Bombus","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa","Eukaryota",388162222.2222222
"346772","species","Dromius quadrimaculatus","Dromius quadrimaculatus","Dromius","Carabidae","Coleoptera","Insecta","Arthropoda","Metazoa","Eukaryota",767000000
"576317","species","Clusia tigrina","Clusia tigrina","Clusia","Clusiidae","Diptera","Insecta","Arthropoda","Metazoa","Eukaryota",1218000000
"988019","species","Pheosia tremula","Pheosia tremula","Pheosia","Notodontidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",352040000
"346820","species","Philonthus cognatus","Philonthus cognatus","Philonthus","Staphylinidae","Coleoptera","Insecta","Arthropoda","Metazoa","Eukaryota",1037000000
"468814","species","Tolmerus atricapillus","Tolmerus atricapillus","Tolmerus","Asilidae","Diptera","Insecta","Arthropoda","Metazoa","Eukaryota",273000000
"2794001","species","Machimus atricapillus","Machimus atricapillus","Machimus","Asilidae","Diptera","Insecta","Arthropoda","Metazoa","Eukaryota",273000000
"481575","species","Megachile willughbiella","Megachile willughbiella","Megachile","Megachilidae","Hymenoptera","Insecta","Arthropoda","Metazoa","Eukaryota",376000000
"2589376","species","Gari tellinella","Gari tellinella","Gari","Psammobiidae","Cardiida","Bivalvia","Mollusca","Metazoa","Eukaryota",1604000000
"1859539","species","Eristalis horticola","Eristalis horticola","Eristalis","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa","Eukaryota",525000000
"88005","species","Patella pellucida","Patella pellucida","Patella","Patellidae",,"Gastropoda","Mollusca","Metazoa","Eukaryota",750000000
"72248","species","Colias croceus","Colias croceus","Colias","Pieridae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",408000000
"414934","species","Phosphuga atrata","Phosphuga atrata","Phosphuga","Silphidae","Coleoptera","Insecta","Arthropoda","Metazoa","Eukaryota",1250000000
"111917","species","Lasiommata megera","Lasiommata megera","Lasiommata","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",499000000
"2495085","species","Mimumesa dahlbomi","Mimumesa dahlbomi","Mimumesa","Crabronidae","Hymenoptera","Insecta","Arthropoda","Metazoa","Eukaryota",286000000
"2072697","species","Steromphala umbilicaris","Steromphala umbilicaris","Steromphala","Trochidae","Trochida","Gastropoda","Mollusca","Metazoa","Eukaryota",1347000000
"934813","species","Campaea margaritaria","Campaea margaritaria","Campaea","Geometridae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",758797647.0588236
"1124558","species","Eupeodes latifasciatus","Eupeodes latifasciatus","Eupeodes","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa","Eukaryota",857000000
"61643","species","Taurulus bubalis","Taurulus bubalis","Taurulus","Cottidae","Perciformes","Actinopteri","Chordata","Metazoa","Eukaryota",829262500
"987419","species","Eilema depressum","Eilema depressum","Eilema","Erebidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",622000000
"179674","species","Diachrysia chrysitis","Diachrysia chrysitis","Diachrysia","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",386000000
"263933","species","Yponomeuta sedellus","Yponomeuta sedellus","Yponomeuta","Yponomeutidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",659000000
"38561","species","Ascidia mentula","Ascidia mentula","Ascidia","Ascidiidae","Phlebobranchia","Ascidiacea","Chordata","Metazoa","Eukaryota",200000000
"111923","species","Melanargia galathea","Melanargia galathea","Melanargia","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",613000000
"197161","species","Ischnura elegans","Ischnura elegans","Ischnura","Coenagrionidae","Odonata","Insecta","Arthropoda","Metazoa","Eukaryota",1748000000
"987424","species","Eilema sororculum","Eilema sororculum","Eilema","Erebidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",735000000
"7955","species","Danio rerio","Danio rerio","Danio","Danionidae","Cypriniformes","Actinopteri","Chordata","Metazoa","Eukaryota",1749936666.6666667
"1553597","species","Oedemera lurida","Oedemera lurida","Oedemera","Oedemeridae","Coleoptera","Insecta","Arthropoda","Metazoa","Eukaryota",1418000000
"1226616","species","Coremacera marginata","Coremacera marginata","Coremacera","Sciomyzidae","Diptera","Insecta","Arthropoda","Metazoa","Eukaryota",984000000
"1869501","species","Blastobasis adustella","Blastobasis adustella","Blastobasis","Blastobasidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",551360000
"987895","species","Caradrina clavipalpis","Caradrina clavipalpis","Caradrina","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",698000000
"1337163","species","Aporophyla lueneburgensis","Aporophyla lueneburgensis","Aporophyla","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",999000000
"226151","species","Volucella inanis","Volucella inanis","Volucella","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa","Eukaryota",676000000
"7445","species","Vespa crabro","Vespa crabro","Vespa","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa","Eukaryota",235183750
"1594354","species","Tinea trinotella","Tinea trinotella","Tinea","Tineidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",666000000
"335469","species","Orgyia antiqua","Orgyia antiqua","Orgyia","Erebidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",487000000
"234461","species","Carex depauperata","Carex depauperata","Carex","Cyperaceae","Poales","Magnoliopsida","Streptophyta","Viridiplantae","Eukaryota",756600000
"934839","species","Eulithis prunata","Eulithis prunata","Eulithis","Geometridae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",270000000
"988049","species","Xestia xanthographa","Xestia xanthographa","Xestia","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",721473333.3333334
"2495015","species","Ectemnius lituratus","Ectemnius lituratus","Ectemnius","Crabronidae","Hymenoptera","Insecta","Arthropoda","Metazoa","Eukaryota",371640000
"2795681","species","Merzomyia westermanni","Merzomyia westermanni","Merzomyia","Tephritidae","Diptera","Insecta","Arthropoda","Metazoa","Eukaryota",983000000
"987449","species","Ptilodon capucinus","Ptilodon capucinus","Ptilodon","Notodontidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",349000000
"185640","species","Polycentropus flavomaculatus","Polycentropus flavomaculatus","Polycentropus","Polycentropodidae","Trichoptera","Insecta","Arthropoda","Metazoa","Eukaryota",571000000
"623212","species","Polycentropus irroratus","Polycentropus irroratus","Polycentropus","Polycentropodidae","Trichoptera","Insecta","Arthropoda","Metazoa","Eukaryota",571000000
"988106","species","Dryobotodes eremita","Dryobotodes eremita","Dryobotodes","Noctuidae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",716000000
"934915","species","Apeira syringaria","Apeira syringaria","Apeira","Geometridae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",547000000
"88516","species","Lasioglossum pauxillum","Lasioglossum pauxillum","Lasioglossum","Halictidae","Hymenoptera","Insecta","Arthropoda","Metazoa","Eukaryota",430000000
"104460","species","Hydriomena furcata","Hydriomena furcata","Hydriomena","Geometridae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",403026315.7894737
"1511241","species","Pantilius tunicatus","Pantilius tunicatus","Pantilius","Miridae","Hemiptera","Insecta","Arthropoda","Metazoa","Eukaryota",1232000000
"104447","species","Idaea aversata","Idaea aversata","Idaea","Geometridae","Lepidoptera","Insecta","Arthropoda","Metazoa","Eukaryota",461000000
